tp,q,a,txt,src,domain,set
Simple,"В каких случаях Яндекс может передавать персональную информацию Партнерам, согласно политике конфиденциальности?","Раздел 1: ""В соответствующих случаях передача Персональной информации возможна только в случаях, установленных применимым законодательством, и осуществляется на основании специальных договоров между Яндексом и каждым из Партнеров.""","В случаях, установленных применимым законодательством, и на основании специальных договоров между Яндексом и Партнерами.",https://yandex.ru/legal/confidential/,law,yandex
With errors,"Какии данныи платежных карт Яндекс можит получить от партнёрав? (Ошибка: Опечатки в словах ""данные"" и ""может"", пропущена буква в слове ""партнеров"", грамматическая ошибка в слове ""какие"")","Раздел 4: ""данные Ваших платежных карт, иная платежная информация, предоставленная Вами, а также полученная от Партнеров или иных лиц, участвующих в проведении платежной операции с использованием Сайтов или Сервисов Яндекса и/или в связи с оказанием Яндексом платных услуг.""",Яндекс может получить данные платежных карт и иную платежную информацию от партнеров.,https://yandex.ru/legal/confidential/,law,yandex
Trash,"Ну, слушайте, вот если, допустим, у меня карта, знаете, Visa там, или Mastercard, ну, обычная дебетовая, и я через нее плачу за всякие там сервисы Яндекса... как Яндекс защищает вот эти вот мои данные?","Раздел 6: ""Яндекс также внедрил достаточные технические и организационные меры для защиты Персональной информации от несанкционированного, случайного или незаконного уничтожения, потери, изменения...""",Яндекс использует технические и организационные меры для защиты платежной информации от несанкционированного доступа.,https://yandex.ru/legal/confidential/,law,yandex
Reformulation,"Значит ли, что использование вами сервисов Яндекса автоматически подразумевает ваше согласие на передачу персональной информации в юрисдикции... ?","Раздел 7.1 и 7.2: ""Обратите внимание, что уровень защиты Персональной информации в некоторых странах может не совпадать с уровнем...""","Да, использование сервисов Яндекса подразумевает ваше согласие на такую передачу.",https://yandex.ru/legal/confidential/,law,yandex
Incorrect by design,Вправе ли Яндекс передавать персональную информацию пользователей правоохранительным органам любой страны по первому запросу...?,"Неприменимо: В политике прямо не указано о передаче информации ""по первому запросу"".","Нет, Яндекс передает персональную информацию правоохранительным органам только в соответствии с применимым законодательством.",https://yandex.ru/legal/confidential/,law,yandex
Table,,,В данном документе отсутствуют таблицы.,https://yandex.ru/legal/confidential/,law,yandex
No info,Какова средняя стоимость привлечения одного клиента для сервисов Яндекса в 2024 году?,Неприменимо: В тексте нет информации о стоимости привлечения клиентов.,В тексте нет информации о стоимости привлечения клиентов.,https://yandex.ru/legal/confidential/,law,yandex
,,,,,law,yandex
Simple,С какой целью Яндекс принял Политику партнерской интеграции?,"Установление требований к партнерской интеграции, установление недискриминационных условий сотрудничества, соблюдение антимонопольного законодательства.","Раздел 1.5: ""Политика принята с целью: (1) установления единых технических и иных требований к Партнерской интеграции...""",https://yandex.ru/legal/search_partner_integration_policy/,law,yandex
With errors,"Какии трэбования предъявляюца к партнёрской интеграции согласно политике? (Ошибка: Опечатки в словах ""какие"", ""требования"", ""предъявляются"")","Установление единых технических и иных требований, установление недискриминационных условий сотрудничества.","Раздел 1.5: ""Политика принята с целью: (1) установления единых технических и иных требований к Партнерской интеграции...""",https://yandex.ru/legal/search_partner_integration_policy/,law,yandex
Trash,"Слушайте, ну вот эта вот вся партнерская интеграция, ну, вы понимаете, да? И вот, Яндекс там что-то делает... какие там основные принципы?","Обеспечение равного доступа партнеров к информации и визуальному представлению, недопустимость манипулирования результатами поиска для продвижения сервисов Яндекса.","Раздел 1.6: ""Основными принципами применения Политики являются: (3) обеспечение равного доступа всех Партнеров...""",https://yandex.ru/legal/search_partner_integration_policy/,law,yandex
Reformulation,"Означает ли принятие Партнером решения об использовании Партнерской интеграции, что это может повлиять на ранжирование результатов органической выдачи?","Нет, принятие Партнером решения об использовании Партнерской интеграции не может влиять на ранжирование результатов органической выдачи.","Раздел 1.6: ""Сам по себе факт принятия Партнером решения об использовании Партнерской интеграции не может влиять на ранжирование...""",https://yandex.ru/legal/search_partner_integration_policy/,law,yandex
Incorrect by design,"Может ли Яндекс требовать от Партнеров эксклюзивные права на использование данных, передаваемых в рамках Партнерской интеграции...?","Исходя из принципов недискриминационности, маловероятно, что Яндекс может требовать эксклюзивные права.",Неприменимо: Прямого указания на возможность требования эксклюзивных прав в тексте нет.,https://yandex.ru/legal/search_partner_integration_policy/,law,yandex
Table,,,В данном документе отсутствуют таблицы.,https://yandex.ru/legal/search_partner_integration_policy/,law,yandex
No info,Каков объем инвестиций Яндекса в развитие партнерской интеграции с финансовыми сервисами в 2023 году?,В тексте нет информации об объеме инвестиций Яндекса в развитие партнерской интеграции.,Неприменимо: Вопрос не относится к тексту.,https://yandex.ru/legal/search_partner_integration_policy/,law,yandex
,,,,,law,yandex
Simple,"Какова цель аудита системы ранжирования Яндекса, согласно Политике?",Оценка эффективности внутренних процессов Яндекса для обеспечения релевантной и непредвзятой выдачи.,"Раздел 4.1: ""Для оценки эффективности внутренних процессов Яндекса, направленных на обеспечение выдачи релевантных результатов...""",https://yandex.ru/legal/search_audit_policy/,law,yandex
With errors,"Как часто праводятся плановые адиты эффиктивности кантролей, указаных в п. 3 Политики? (Ошибка: Опечатки в словах ""проводятся"", ""аудиты"", ""эффективности"", ""контролей"", ""указанных"")",Ежегодно.,"Раздел 4.2.1: ""Проводится первоначальный аудит... и далее ежегодный аудит эффективности контролей, указанных в п. 3 настоящей Политики.""",https://yandex.ru/legal/search_audit_policy/,law,yandex
Trash,"Слушайте, вот эти аудиты, которые Яндекс проводит, да? Для чего они вообще нужны? Ну, типа, чтобы там все было честно, да? Расскажите вообще, зачем эти аудиты?","Для оценки эффективности процессов, обеспечения непредвзятости выдачи и соблюдения принципов партнерской интеграции.","Раздел 4.1: ""Для оценки эффективности внутренних процессов Яндекса... проводится регулярный внешний аудит.""",https://yandex.ru/legal/search_audit_policy/,law,yandex
Reformulation,"Означает ли проведение внепланового аудита, инициированного партнерами, что Яндекс обязан возместить расходы на аудит, если нарушения не подтвердятся?","Нет, если нарушения не подтвердятся, расходы возмещаются партнерами.","Раздел 4.2.2: ""В случае, если указанные Партнерами обстоятельства не будут подтверждены таким аудитом... все расходы подлежат возмещению Партнерами.""",https://yandex.ru/legal/search_audit_policy/,law,yandex
Incorrect by design,Может ли Яндекс самостоятельно вносить изменения в краткий отчет аудитора перед его публикацией?,"Теоретически нет, так как отчет должен отражать независимое мнение аудитора.",Неприменимо: Прямого указания на возможность изменения отчета в тексте нет.,https://yandex.ru/legal/search_audit_policy/,law,yandex
Table,,,В данном документе отсутствуют таблицы.,https://yandex.ru/legal/search_audit_policy/,law,yandex
No info,Каков размер гонорара аудиторской компании Deloitte за проведение аудита системы ранжирования Яндекса в 2023 году?,В тексте нет информации о размере гонорара аудиторской компании.,Неприменимо: Вопрос не относится к тексту.,https://yandex.ru/legal/search_audit_policy/,law,yandex
,,,,,law,yandex
Simple,"Какие товары нельзя рекламировать на транспортных средствах согласно требованиям законодательства РФ, упомянутым в рекламной политике Яндекс.Такси?","Товары, производство и/или реализация которых запрещены законодательством РФ.","Раздел 1: ""Нельзя рекламировать на транспортных средствах согласно требованиям законодательства: ...товары, производство и (или) реализация которых запрещены законодательством Российской Федерации.""",https://yandex.ru/legal/taxi_reklamnaya_politika/,law,yandex
With errors,"Дапускает ли рекламная палитика Яндекса искользование бранных слоф и непристойных образов в рекламе? (Ошибка: Опечатки в словах ""допускает"", ""политика"", ""использование"", ""слов"")","Нет, рекламная политика Яндекса не допускает использование бранных слов и непристойных образов.","Раздел 2: ""1.1. является неэтичной, использует бранные слова, непристойные и оскорбительные образы...""",https://yandex.ru/legal/taxi_reklamnaya_politika/,law,yandex
Trash,"Слушайте, ну вот эти такси, на них там всякая реклама, да? И вот можно ли, вообще, рекламировать там, ну, я не знаю, там, всякие финансовые услуги, например?","Финансовые услуги можно рекламировать, но с соблюдением особых требований законодательства.","Раздел 1: ""Можно рекламировать с соблюдением особых требований, установленных законодательством: ... финансовые услуги.""",https://yandex.ru/legal/taxi_reklamnaya_politika/,law,yandex
Reformulation,"Означает ли требование об указании стоимостных показателей в рублях, что реклама, ориентированная на иностранных туристов, должна дополнительно указывать цены в иностранной валюте?","Да, в случае необходимости (например, при ориентации на иностранную аудиторию) необходимо указывать цены в иностранной валюте.","Раздел 2: ""4. Стоимостные показатели должны быть указаны в рублях, и, в случае необходимости, дополнительно в иностранной валюте.""",https://yandex.ru/legal/taxi_reklamnaya_politika/,law,yandex
Incorrect by design,"Разрешает ли рекламная политика Яндекс.Такси рекламу деятельности, направленной на критику политических деятелей, если это происходит в рамках предвыборной кампании?","Нет, реклама, содержащая критику политических деятелей, запрещена.","Раздел 1: ""политическая реклама: ... реклама, содержащая одобрение или критику политиков...""",https://yandex.ru/legal/taxi_reklamnaya_politika/,law,yandex
Table,,,В данном документе отсутствуют таблицы.,https://yandex.ru/legal/taxi_reklamnaya_politika/,law,yandex
No info,Каков средний чек за размещение рекламы на автомобилях Яндекс.Такси в Москве в 2024 году?,В тексте нет информации о среднем чеке за размещение рекламы.,Неприменимо: Вопрос не относится к тексту.,https://yandex.ru/legal/taxi_reklamnaya_politika/,law,yandex
,,,,,law,yandex
Simple,Каким образом реализуется функционал сервиса Яндекс.Еда для пользователей?,"Через мобильное приложение Яндекс Еда, раздел сервиса Яндекс Go, вебсайт eda.yandex.ru и другие приложения и сайты Яндекс.Еда.","Раздел 1.3: ""Функционал Сервиса для Пользователей реализован через мобильное приложение «Яндекс Еда»...""",https://yandex.ru/legal/com_politics_eda/,law,yandex
With errors,"Что такое ""вазнаграждение"" в контиксте коммерческай палитики сервиса яндекс еда?","Сумма, уплачиваемая Партнером за услугу Сервиса в виде процента от стоимости Заказа, без учета стоимости сопутствующих услуг.","Раздел 1.6: ""Вознаграждение — сумма, уплачиваемая Партнером за услугу Сервиса в виде процента от стоимости Заказа...""",https://yandex.ru/legal/com_politics_eda/,law,yandex
