tp,q,a,txt,src,domain,set
Simple,В соответствии с чем разработана настоящая Политика в отношении обработки персональных данных?,"В соответствии с Федеральным законом № 152- ФЗ от 27.07.2006 года «О персональных данных», Трудовым Кодексом Российской Федерации, Гражданским Кодексом Российской Федерации и иными положениями российского законодательства.","""Настоящая Политика разработана в соответствии с Федеральным законом № 152- ФЗ от 27.07.2006 года «О персональных данных», Трудовым Кодексом Российской Федерации, Гражданским Кодексом Российской Федерации и иными положениями российского законодательства.""",https://legal.wildberries.ru/en/privacypolicy/country/ru/lang/ru/,law,wb
With errors,"На какие персональные даные распрастраняется действие политики? (ошибка: опечатки в словах ""данные"", ""распространяется"")","На все персональные данные Субъектов персональных данных, указанных в пп. 4.1.1 – 4.1.4. Политики, обрабатываемые в Обществе с применением средств автоматизации и без применения таких средств.","""Действие Политики распространяется на все персональные данные Субъектов персональных данных, указанных в пп. 4.1.1 – 4.1.4. Политики, обрабатываемые в Обществе с применением средств автоматизации и без применения таких средств.""",https://legal.wildberries.ru/en/privacypolicy/country/ru/lang/ru/,law,wb
Trash,"Слушайте, ну вот я работаю в этой компании, да? И что они вообще делают с моими данными, ну, зачем им это нужно, ну, что это за политика вообще, ну, расскажите вкратце, да?",Определение подходов ООО «РВБ» в отношении обработки персональных данных определенных субъектов.,"""Цель разработки Политики – определение подходов ООО «РВБ» (142181, Московская область, г.о. Подольск, д. Коледино, тер. Индустриальный Парк Коледино, д.6, строение 1, ИНН: 9714053621) (далее – ""Общество"") в отношении обработки персональных данных Субъектов персональных данных, указанных в пп. 4.1.1 – 4.1.4. Политики.""",https://legal.wildberries.ru/en/privacypolicy/country/ru/lang/ru/,law,wb
Reformulation,"Означает ли, что обработка персональных данных Субъекта персональных данных осуществляется только с его согласия?","Нет, обработка персональных данных может осуществляться без согласия в случаях, предусмотренных законодательством РФ.","""Обработка персональных данных Субъекта персональных данных осуществляется с согласия Субъекта персональных данных на обработку его персональных данных, а также без получения согласия в случаях, предусмотренных законодательством Российской Федерации.""",https://legal.wildberries.ru/en/privacypolicy/country/ru/lang/ru/,law,wb
Incorrect by design,"Может ли Общество обрабатывать специальные категории персональных данных без согласия субъекта, если это необходимо для соблюдения требований иностранного законодательства?","Нет, Общество не осуществляет обработку специальных категорий персональных данных без согласия, за исключением случаев, предусмотренных законодательством РФ.","""Общество не осуществляет обработку специальных категорий персональных данных и биометрических персональных данных за исключением случаев, когда обработка персональных данных обусловлена текущими задачами бизнеса, при обязательном согласии Субъекта персональных данных на обработку персональных данных, или является необходимой в соответствии с требованиями законодательства Российской Федерации.""",https://legal.wildberries.ru/en/privacypolicy/country/ru/lang/ru/,law,wb
Table,,,В данном документе отсутствуют таблицы.,,law,wb
No info,"Каков размер штрафов, выплаченных Обществом за нарушение законодательства о персональных данных в 2024 году?","В тексте нет информации о размере штрафов, выплаченных Обществом за нарушение законодательства о персональных данных.",Неприменимо: Вопрос не относится к тексту.,,law,wb
,,,,,,wb
Simple,Что является неотъемлемой частью Правил продажи авиабилетов WB Travel?,Публичная оферта ООО «РВБ».,"""Настоящие правила продажи авиабилетов WB Travel (далее - Правила) являются неотъемлемой частью Публичной оферты ООО «РВБ»...""",https://legal.wildberries.ru/en/staff-counterparty-privacy-policy/country/ru/lang/ru/,law,wb
With errors,"Кто такой ""Клиент"" согдасно правилам прадажи авиабилетов WB Travel? (ошибка: опечатки в словах ""согласно"", ""продажи"")","Пользователь Сайта, осуществляющий бронирование и приобретение Услуг с использованием Сервиса.","""Клиент — пользователь Сайта, осуществляющий бронирование и приобретение Услуг с использованием Сервиса.""",https://legal.wildberries.ru/en/staff-counterparty-privacy-policy/country/ru/lang/ru/,law,wb
Trash,"Слушайте, ну вот я хочу купить авиабилет через Wildberries Travel, да? И кто вообще эти люди, которые предоставляют эти услуги, ну, кто такой Вайлдберриз, ну, что это за компания, ну, расскажите вкратце, да?",Общество с ограниченной ответственностью «РВБ».,"""Вайлдберриз – Общество с ограниченной ответственностью «РВБ» (юр. адрес: 142181, Московская область, г.о. Подольск, д. Коледино, тер. Индустриальный Парк Коледино, д.6, строение 1, ОГРН 1247700471919, тел. +7 495 775 55 46 , email: travel@wildberries.ru)""",https://legal.wildberries.ru/en/staff-counterparty-privacy-policy/country/ru/lang/ru/,law,wb
Reformulation,"Означает ли бронирование Услуг (заказ «подтвержден»), что Клиент обязан оплатить заказ в течение установленного времени?","Да, Клиент обязан оплатить заказ в течение установленного времени.","""Бронирование Услуг (заказ «подтвержден») — измененный статус заказа, означающий, что: ... Клиент, в свою очередь, обязан оплатить заказ на условиях, установленных Компанией в течение этого времени, в противном случае происходит аннуляция заказа.""",https://legal.wildberries.ru/en/staff-counterparty-privacy-policy/country/ru/lang/ru/,law,wb
