tp,q,a,txt,src,domain,set
Simple,Какова цель Политики ООО «Интернет Решения» в отношении обработки персональных данных?,"Соблюдение и защита прав и свобод каждого человека, в особенности права на неприкосновенность частной жизни.","""1.1. Политика ООО «Интернет Решения» определяет позицию и намерения Общества в области обработки и защиты персональных данных...""",https://docs.ozon.ru/legal/personal-data/ru/ir/?__rr=1,law,ozon
With errors,"Кто несёт отвэтственность перед субъктом персональных даных за дейсвия абработчика? (Ошибка: опечатки в словах ""ответственность"", ""субъектом"", ""данных"", ""действия"", ""обработчика"")",Оператор.,"""2.5. Оператор несет ответственность перед субъектом персональных данных за действия или бездействия обработчика.""",https://docs.ozon.ru/legal/personal-data/ru/ir/?__rr=1,law,ozon
Trash,"Скажите, вот если Озон передает мои данные какой-то другой компании, ну, там, не знаю, там, курьерской службе, например, то кто вообще отвечает за то, что они там с моими данными делают?","ООО ""Интернет Решения"" (Оператор), как организация, передавшая данные.","""3.6. Общество вправе поручить обработку персональных данных Обработчикам на основании заключаемых с ними договоров.""",https://docs.ozon.ru/legal/personal-data/ru/ir/?__rr=1,law,ozon
Reformulation,"Означает ли, что ООО «Интернет Решения» может передавать персональные данные третьим лицам без согласия субъекта, если это необходимо для исполнения договора?","Да, если это необходимо для исполнения договора и есть правовые основания.","""3.7. При наличии соответствующих правовых оснований...""",https://docs.ozon.ru/legal/personal-data/ru/ir/?__rr=1,law,ozon
Incorrect by design,"Может ли Ozon передавать персональные данные пользователей правоохранительным органам других стран, если это противоречит российскому законодательству?","Нет, Ozon передает персональную информацию правоохранительным органам только в соответствии с применимым законодательством.",,https://docs.ozon.ru/legal/personal-data/ru/ir/?__rr=1,law,ozon
Table,,,В данном документе отсутствуют таблицы.,https://docs.ozon.ru/legal/personal-data/ru/ir/?__rr=1,law,ozon
No info,"Каков размер штрафа, наложенного на Ozon за нарушение закона о персональных данных в 2024 году?",В тексте нет информации о штрафах за нарушение закона о персональных данных.,Неприменимо: Вопрос не относится к тексту.,https://docs.ozon.ru/legal/personal-data/ru/ir/?__rr=1,law,ozon
,,,,,law,ozon
Simple,В соответствии с чем составлена политика обработки запросов субъектов персональных данных?,В соответствии с Федеральным законом Российской Федерации.,"""1.1. Настоящая политика составлена в соответствии с Федеральным законом Российской Федерации.""",https://docs.ozon.ru/legal/personal-data/ru/oi/,law,ozon
With errors,"Какой срок отводится аператору дла рассмотрения запроса субъекта пэрсональных данных? (Ошибка: опечатки в словах ""оператору"", ""для"", ""рассмотрения"", ""персональных"")",30 дней.,"""3.5. Срок рассмотрения Запроса и направления мотивированного ответа субъекту персональных данных не может превышать 30 (тридцать) дней...""",https://docs.ozon.ru/legal/personal-data/ru/oi/,law,ozon
